in:ID [-],in:Type [-],in:Dep [m],in:PWT [%],in:FAR [-],in:Len [m],in:RS [m],in:SS [m],out:GFA [m2],out:LotCov [-],out:PC_1 [%],out:PC_2 [%],out:PC_3 [%],out:PC_4 [%],out:PC_5 [%],img
0,0,20,30,10,40,0,0,90275,0.241,0,8.6,35.7,31.9,23.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/0ScreenParallel.webp
1,1,20,30,10,40,0,0,91367,0.274,0,16,42.6,19.5,21.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/1ScreenParallel.webp
2,2,20,30,10,40,0,0,91760,0.333,0.7,18.1,25.6,19.8,35.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/2ScreenParallel.webp
3,0,30,30,10,40,0,0,90878,0.284,0,10.7,41,22.9,25.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/3ScreenParallel.webp
4,1,30,30,10,40,0,0,92414,0.328,0,15.6,32.4,20,31.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/4ScreenParallel.webp
5,2,30,30,10,40,0,0,95676,0.374,0.2,17.9,25.8,19.8,36.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/5ScreenParallel.webp
6,0,40,30,10,40,0,0,90674,0.306,0,11.3,34.6,24.5,29.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/6ScreenParallel.webp
7,1,40,30,10,40,0,0,94438,0.353,0,18.5,25.7,21.1,34.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/7ScreenParallel.webp
8,2,40,30,10,40,0,0,93100,0.374,0.2,18.1,25.4,20.1,36.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/8ScreenParallel.webp
9,0,20,40,10,40,0,0,92528,0.23,0.1,7.7,34.4,28.4,29.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/9ScreenParallel.webp
10,1,20,40,10,40,0,0,93384,0.275,0,13.9,41.7,21.8,22.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/10ScreenParallel.webp
11,2,20,40,10,40,0,0,93196,0.344,0.8,18.4,23.3,18.3,39.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/11ScreenParallel.webp
12,0,30,40,10,40,0,0,92340,0.268,0.1,12.1,37.1,24.3,26.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/12ScreenParallel.webp
13,1,30,40,10,40,0,0,94852,0.329,0,16,31.7,21.6,30.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/13ScreenParallel.webp
14,2,30,40,10,40,0,0,94298,0.381,0.4,17.8,24.6,19.7,37.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/14ScreenParallel.webp
15,0,40,40,10,40,0,0,93053,0.296,0.1,9.5,35.2,24.2,31,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/15ScreenParallel.webp
16,1,40,40,10,40,0,0,97480,0.36,0.3,18.6,23.9,21.4,35.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/16ScreenParallel.webp
17,2,40,40,10,40,0,0,96874,0.381,0.2,17.8,25,19.5,37.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/17ScreenParallel.webp
18,0,20,50,10,40,0,0,91235,0.172,0.1,5.4,23.7,29.7,41.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/18ScreenParallel.webp
